Product Name,Region,AQ Min (kWh),AQ Max (kWh),Contract Length (months),Valid from,Valid to,p/kWh
10EA1B15814 Start Month 2 - 1 Year,EA1,150001,200000,12,01/12/2019,30/11/2020,2.676667
10EA1B15814 Start Month 2 - 2 Year,EA1,150001,200000,24,01/12/2019,30/11/2021,2.720689
10EA1B15814 Start Month 2 - 3 Year,EA1,150001,200000,36,01/12/2019,30/11/2022,2.73959
10EA1B15814 Start Month 2 - 4 Year,EA1,150001,200000,48,01/12/2019,30/11/2023,2.759818
10EA1B15814 Start Month 2 - 5 Year,EA1,150001,200000,60,01/12/2019,30/11/2024,2.769241
10EA1B15814 Start Month 3 - 1 Year,EA1,150001,200000,12,01/01/2020,31/12/2020,2.701612
10EA1B15814 Start Month 3 - 2 Year,EA1,150001,200000,24,01/01/2020,31/12/2021,2.739374
10EA1B15814 Start Month 3 - 3 Year,EA1,150001,200000,36,01/01/2020,31/12/2022,2.752619
10EA1B15814 Start Month 3 - 4 Year,EA1,150001,200000,48,01/01/2020,31/12/2023,2.772241
10EA1B15814 Start Month 3 - 5 Year,EA1,150001,200000,60,01/01/2020,31/12/2024,2.781765
10EA1B15814 Start Month 4 - 1 Year,EA1,150001,200000,12,01/02/2020,31/01/2021,2.725551
10EA1B15814 Start Month 4 - 2 Year,EA1,150001,200000,24,01/02/2020,31/01/2022,2.749977
10EA1B15814 Start Month 4 - 3 Year,EA1,150001,200000,36,01/02/2020,31/01/2023,2.762517
10EA1B15814 Start Month 4 - 4 Year,EA1,150001,200000,48,01/02/2020,31/01/2024,2.782442
10EA1B15814 Start Month 4 - 5 Year,EA1,150001,200000,60,01/02/2020,31/01/2025,2.790362
10EA1B15814 Start Month 5 - 1 Year,EA1,150001,200000,12,01/03/2020,28/02/2021,2.746458
10EA1B15814 Start Month 5 - 2 Year,EA1,150001,200000,24,01/03/2020,28/02/2022,2.759865
10EA1B15814 Start Month 5 - 3 Year,EA1,150001,200000,36,01/03/2020,28/02/2023,2.770395
10EA1B15814 Start Month 5 - 4 Year,EA1,150001,200000,48,01/03/2020,29/02/2024,2.792746
10EA1B15814 Start Month 5 - 5 Year,EA1,150001,200000,60,01/03/2020,28/02/2025,2.799163
10EA1B15814 Start Month 6 - 1 Year,EA1,150001,200000,12,01/04/2020,31/03/2021,2.777162
10EA1B15814 Start Month 6 - 2 Year,EA1,150001,200000,24,01/04/2020,31/03/2022,2.772791
10EA1B15814 Start Month 6 - 3 Year,EA1,150001,200000,36,01/04/2020,31/03/2023,2.781101
10EA1B15814 Start Month 6 - 4 Year,EA1,150001,200000,48,01/04/2020,31/03/2024,2.803149
10EA1B15814 Start Month 6 - 5 Year,EA1,150001,200000,60,01/04/2020,31/03/2025,2.806031
10EA1B15814 Start Month 7 - 1 Year,EA1,150001,200000,12,01/05/2020,30/04/2021,2.782513
10EA1B15814 Start Month 7 - 2 Year,EA1,150001,200000,24,01/05/2020,30/04/2022,2.775922
10EA1B15814 Start Month 7 - 3 Year,EA1,150001,200000,36,01/05/2020,30/04/2023,2.785244
10EA1B15814 Start Month 7 - 4 Year,EA1,150001,200000,48,01/05/2020,30/04/2024,2.807504
10EA1B15814 Start Month 7 - 5 Year,EA1,150001,200000,60,01/05/2020,30/04/2025,2.800347
10EA1B15814 Start Month 8 - 1 Year,EA1,150001,200000,12,01/06/2020,31/05/2021,2.782602
10EA1B15814 Start Month 8 - 2 Year,EA1,150001,200000,24,01/06/2020,31/05/2022,2.77855
10EA1B15814 Start Month 8 - 3 Year,EA1,150001,200000,36,01/06/2020,31/05/2023,2.786355
10EA1B15814 Start Month 8 - 4 Year,EA1,150001,200000,48,01/06/2020,31/05/2024,2.810233
10EA1B15814 Start Month 8 - 5 Year,EA1,150001,200000,60,01/06/2020,31/05/2025,2.791722
10EA1B15814 Start Month 9 - 1 Year,EA1,150001,200000,12,01/07/2020,30/06/2021,2.785228
10EA1B15814 Start Month 9 - 2 Year,EA1,150001,200000,24,01/07/2020,30/06/2022,2.779762
10EA1B15814 Start Month 9 - 3 Year,EA1,150001,200000,36,01/07/2020,30/06/2023,2.789195
10EA1B15814 Start Month 9 - 4 Year,EA1,150001,200000,48,01/07/2020,30/06/2024,2.799539
10EA1B15814 Start Month 9 - 5 Year,EA1,150001,200000,60,01/07/2020,30/06/2025,2.772098
10EA2B15814 Start Month 1 - 1 Year,EA2,150001,200000,12,01/11/2019,31/10/2020,2.632025
10EA2B15814 Start Month 1 - 2 Year,EA2,150001,200000,24,01/11/2019,31/10/2021,2.692522
10EA2B15814 Start Month 1 - 3 Year,EA2,150001,200000,36,01/11/2019,31/10/2022,2.715843
10EA2B15814 Start Month 1 - 4 Year,EA2,150001,200000,48,01/11/2019,31/10/2023,2.738899
10EA2B15814 Start Month 1 - 5 Year,EA2,150001,200000,60,01/11/2019,31/10/2024,2.749948
10EA2B15814 Start Month 10 - 1 Year,EA2,150001,200000,12,01/08/2020,31/07/2021,2.786832
10EA2B15814 Start Month 10 - 2 Year,EA2,150001,200000,24,01/08/2020,31/07/2022,2.781479
10EA2B15814 Start Month 10 - 3 Year,EA2,150001,200000,36,01/08/2020,31/07/2023,2.790508
10EA2B15814 Start Month 10 - 4 Year,EA2,150001,200000,48,01/08/2020,31/07/2024,2.790653
10EA2B15814 Start Month 10 - 5 Year,EA2,150001,200000,60,01/08/2020,31/07/2025,2.753979
10EA2B15814 Start Month 11 - 1 Year,EA2,150001,200000,12,01/09/2020,31/08/2021,2.78865
10EA2B15814 Start Month 11 - 2 Year,EA2,150001,200000,24,01/09/2020,31/08/2022,2.784117
10EA2B15814 Start Month 11 - 3 Year,EA2,150001,200000,36,01/09/2020,31/08/2023,2.793247
10EA2B15814 Start Month 11 - 4 Year,EA2,150001,200000,48,01/09/2020,31/08/2024,2.793291
10EA2B15814 Start Month 11 - 5 Year,EA2,150001,200000,60,01/09/2020,31/08/2025,2.735971
10EA2B15814 Start Month 12 - 1 Year,EA2,150001,200000,12,01/10/2020,30/09/2021,2.787638
10EA2B15814 Start Month 12 - 2 Year,EA2,150001,200000,24,01/10/2020,30/09/2022,2.784521
10EA2B15814 Start Month 12 - 3 Year,EA2,150001,200000,36,01/10/2020,30/09/2023,2.793752
10EA2B15814 Start Month 12 - 4 Year,EA2,150001,200000,48,01/10/2020,30/09/2024,2.795818
10EA2B15814 Start Month 12 - 5 Year,EA2,150001,200000,60,01/10/2020,30/09/2025,2.727245
10EA2B15814 Start Month 2 - 1 Year,EA2,150001,200000,12,01/12/2019,30/11/2020,2.676667
10EA2B15814 Start Month 2 - 2 Year,EA2,150001,200000,24,01/12/2019,30/11/2021,2.720689
10EA2B15814 Start Month 2 - 3 Year,EA2,150001,200000,36,01/12/2019,30/11/2022,2.73959
10EA2B15814 Start Month 2 - 4 Year,EA2,150001,200000,48,01/12/2019,30/11/2023,2.757988
10EA2B15814 Start Month 2 - 5 Year,EA2,150001,200000,60,01/12/2019,30/11/2024,2.767421
10EA2B15814 Start Month 3 - 1 Year,EA2,150001,200000,12,01/01/2020,31/12/2020,2.701612
10EA2B15814 Start Month 3 - 2 Year,EA2,150001,200000,24,01/01/2020,31/12/2021,2.739374
10EA2B15814 Start Month 3 - 3 Year,EA2,150001,200000,36,01/01/2020,31/12/2022,2.752619
10EA2B15814 Start Month 3 - 4 Year,EA2,150001,200000,48,01/01/2020,31/12/2023,2.772241
10EA2B15814 Start Month 3 - 5 Year,EA2,150001,200000,60,01/01/2020,31/12/2024,2.781765
10EA2B15814 Start Month 4 - 1 Year,EA2,150001,200000,12,01/02/2020,31/01/2021,2.725551
10EA2B15814 Start Month 4 - 2 Year,EA2,150001,200000,24,01/02/2020,31/01/2022,2.749977
10EA2B15814 Start Month 4 - 3 Year,EA2,150001,200000,36,01/02/2020,31/01/2023,2.762517
10EA2B15814 Start Month 4 - 4 Year,EA2,150001,200000,48,01/02/2020,31/01/2024,2.782442
10EA2B15814 Start Month 4 - 5 Year,EA2,150001,200000,60,01/02/2020,31/01/2025,2.790362
10EA2B15814 Start Month 5 - 1 Year,EA2,150001,200000,12,01/03/2020,28/02/2021,2.746458
10EA2B15814 Start Month 5 - 2 Year,EA2,150001,200000,24,01/03/2020,28/02/2022,2.759865
10EA2B15814 Start Month 5 - 3 Year,EA2,150001,200000,36,01/03/2020,28/02/2023,2.770395
10EA2B15814 Start Month 5 - 4 Year,EA2,150001,200000,48,01/03/2020,29/02/2024,2.792746
10EA2B15814 Start Month 5 - 5 Year,EA2,150001,200000,60,01/03/2020,28/02/2025,2.797333
10EA2B15814 Start Month 6 - 1 Year,EA2,150001,200000,12,01/04/2020,31/03/2021,2.775342
10EA2B15814 Start Month 6 - 2 Year,EA2,150001,200000,24,01/04/2020,31/03/2022,2.772791
10EA2B15814 Start Month 6 - 3 Year,EA2,150001,200000,36,01/04/2020,31/03/2023,2.781101
10EA2B15814 Start Month 6 - 4 Year,EA2,150001,200000,48,01/04/2020,31/03/2024,2.803149
10EA2B15814 Start Month 6 - 5 Year,EA2,150001,200000,60,01/04/2020,31/03/2025,2.806031
10EA2B15814 Start Month 7 - 1 Year,EA2,150001,200000,12,01/05/2020,30/04/2021,2.782513
10EA2B15814 Start Month 7 - 2 Year,EA2,150001,200000,24,01/05/2020,30/04/2022,2.775922
10EA2B15814 Start Month 7 - 3 Year,EA2,150001,200000,36,01/05/2020,30/04/2023,2.785244
10EA2B15814 Start Month 7 - 4 Year,EA2,150001,200000,48,01/05/2020,30/04/2024,2.807504
10EA2B15814 Start Month 7 - 5 Year,EA2,150001,200000,60,01/05/2020,30/04/2025,2.798517
10EA2B15814 Start Month 8 - 1 Year,EA2,150001,200000,12,01/06/2020,31/05/2021,2.782602
10EA2B15814 Start Month 8 - 2 Year,EA2,150001,200000,24,01/06/2020,31/05/2022,2.77855
10EA2B15814 Start Month 8 - 3 Year,EA2,150001,200000,36,01/06/2020,31/05/2023,2.786355
10EA2B15814 Start Month 8 - 4 Year,EA2,150001,200000,48,01/06/2020,31/05/2024,2.810233
10EA2B15814 Start Month 8 - 5 Year,EA2,150001,200000,60,01/06/2020,31/05/2025,2.789902
10EA2B15814 Start Month 9 - 1 Year,EA2,150001,200000,12,01/07/2020,30/06/2021,2.785228
10EA2B15814 Start Month 9 - 2 Year,EA2,150001,200000,24,01/07/2020,30/06/2022,2.779762
10EA2B15814 Start Month 9 - 3 Year,EA2,150001,200000,36,01/07/2020,30/06/2023,2.789195
10EA2B15814 Start Month 9 - 4 Year,EA2,150001,200000,48,01/07/2020,30/06/2024,2.799539
10EA2B15814 Start Month 9 - 5 Year,EA2,150001,200000,60,01/07/2020,30/06/2025,2.772098
10EA3B15814 Start Month 1 - 1 Year,EA3,150001,200000,12,01/11/2019,31/10/2020,2.621075
10EA3B15814 Start Month 1 - 2 Year,EA3,150001,200000,24,01/11/2019,31/10/2021,2.683392
10EA3B15814 Start Month 1 - 3 Year,EA3,150001,200000,36,01/11/2019,31/10/2022,2.708543
10EA3B15814 Start Month 1 - 4 Year,EA3,150001,200000,48,01/11/2019,31/10/2023,2.729779
10EA3B15814 Start Month 1 - 5 Year,EA3,150001,200000,60,01/11/2019,31/10/2024,2.738998
10EA3B15814 Start Month 10 - 1 Year,EA3,150001,200000,12,01/08/2020,31/07/2021,2.779532
10EA3B15814 Start Month 10 - 2 Year,EA3,150001,200000,24,01/08/2020,31/07/2022,2.774179
10EA3B15814 Start Month 10 - 3 Year,EA3,150001,200000,36,01/08/2020,31/07/2023,2.783208
10EA3B15814 Start Month 10 - 4 Year,EA3,150001,200000,48,01/08/2020,31/07/2024,2.781533
10EA3B15814 Start Month 10 - 5 Year,EA3,150001,200000,60,01/08/2020,31/07/2025,2.743029
10EA3B15814 Start Month 11 - 1 Year,EA3,150001,200000,12,01/09/2020,31/08/2021,2.77953
10EA3B15814 Start Month 11 - 2 Year,EA3,150001,200000,24,01/09/2020,31/08/2022,2.776817
10EA3B15814 Start Month 11 - 3 Year,EA3,150001,200000,36,01/09/2020,31/08/2023,2.784117
10EA3B15814 Start Month 11 - 4 Year,EA3,150001,200000,48,01/09/2020,31/08/2024,2.782341
10EA3B15814 Start Month 11 - 5 Year,EA3,150001,200000,60,01/09/2020,31/08/2025,2.726841
10EA3B15814 Start Month 12 - 1 Year,EA3,150001,200000,12,01/10/2020,30/09/2021,2.780338
10EA3B15814 Start Month 12 - 2 Year,EA3,150001,200000,24,01/10/2020,30/09/2022,2.777221
10EA3B15814 Start Month 12 - 3 Year,EA3,150001,200000,36,01/10/2020,30/09/2023,2.786452
10EA3B15814 Start Month 12 - 4 Year,EA3,150001,200000,48,01/10/2020,30/09/2024,2.784868
10EA3B15814 Start Month 12 - 5 Year,EA3,150001,200000,60,01/10/2020,30/09/2025,2.718125
10EA3B15814 Start Month 2 - 1 Year,EA3,150001,200000,12,01/12/2019,30/11/2020,2.665717
10EA3B15814 Start Month 2 - 2 Year,EA3,150001,200000,24,01/12/2019,30/11/2021,2.711569
10EA3B15814 Start Month 2 - 3 Year,EA3,150001,200000,36,01/12/2019,30/11/2022,2.73046
10EA3B15814 Start Month 2 - 4 Year,EA3,150001,200000,48,01/12/2019,30/11/2023,2.748868
10EA3B15814 Start Month 2 - 5 Year,EA3,150001,200000,60,01/12/2019,30/11/2024,2.758291
10EA3B15814 Start Month 3 - 1 Year,EA3,150001,200000,12,01/01/2020,31/12/2020,2.692482
10EA3B15814 Start Month 3 - 2 Year,EA3,150001,200000,24,01/01/2020,31/12/2021,2.730254
10EA3B15814 Start Month 3 - 3 Year,EA3,150001,200000,36,01/01/2020,31/12/2022,2.743489
10EA3B15814 Start Month 3 - 4 Year,EA3,150001,200000,48,01/01/2020,31/12/2023,2.763111
10EA3B15814 Start Month 3 - 5 Year,EA3,150001,200000,60,01/01/2020,31/12/2024,2.772645
10EA4B15814 Start Month 1 - 1 Year,EA4,150001,200000,12,01/11/2019,31/10/2020,2.648455
10EA4B15814 Start Month 1 - 2 Year,EA4,150001,200000,24,01/11/2019,31/10/2021,2.707122
10EA4B15814 Start Month 1 - 3 Year,EA4,150001,200000,36,01/11/2019,31/10/2022,2.730443
10EA4B15814 Start Month 1 - 4 Year,EA4,150001,200000,48,01/11/2019,31/10/2023,2.755329
10EA4B15814 Start Month 1 - 5 Year,EA4,150001,200000,60,01/11/2019,31/10/2024,2.766368
10EA4B15814 Start Month 10 - 1 Year,EA4,150001,200000,12,01/08/2020,31/07/2021,2.799612
10EA4B15814 Start Month 10 - 2 Year,EA4,150001,200000,24,01/08/2020,31/07/2022,2.794259
10EA4B15814 Start Month 10 - 3 Year,EA4,150001,200000,36,01/08/2020,31/07/2023,2.805108
10EA4B15814 Start Month 10 - 4 Year,EA4,150001,200000,48,01/08/2020,31/07/2024,2.807083
10EA4B15814 Start Month 10 - 5 Year,EA4,150001,200000,60,01/08/2020,31/07/2025,2.768579
10EA4B15814 Start Month 11 - 1 Year,EA4,150001,200000,12,01/09/2020,31/08/2021,2.80143
10EA4B15814 Start Month 11 - 2 Year,EA4,150001,200000,24,01/09/2020,31/08/2022,2.796887
10EA4B15814 Start Month 11 - 3 Year,EA4,150001,200000,36,01/09/2020,31/08/2023,2.807847
10EA4B15814 Start Month 11 - 4 Year,EA4,150001,200000,48,01/09/2020,31/08/2024,2.809711
10EA4B15814 Start Month 11 - 5 Year,EA4,150001,200000,60,01/09/2020,31/08/2025,2.750571
10EA4B15814 Start Month 12 - 1 Year,EA4,150001,200000,12,01/10/2020,30/09/2021,2.800418
10EA4B15814 Start Month 12 - 2 Year,EA4,150001,200000,24,01/10/2020,30/09/2022,2.797291
10EA4B15814 Start Month 12 - 3 Year,EA4,150001,200000,36,01/10/2020,30/09/2023,2.808352
10EA4B15814 Start Month 12 - 4 Year,EA4,150001,200000,48,01/10/2020,30/09/2024,2.812248
10EA4B15814 Start Month 12 - 5 Year,EA4,150001,200000,60,01/10/2020,30/09/2025,2.741845
10EA4B15814 Start Month 2 - 1 Year,EA4,150001,200000,12,01/12/2019,30/11/2020,2.693097
10EA4B15814 Start Month 2 - 2 Year,EA4,150001,200000,24,01/12/2019,30/11/2021,2.735289
10EA4B15814 Start Month 2 - 3 Year,EA4,150001,200000,36,01/12/2019,30/11/2022,2.75236
10EA4B15814 Start Month 2 - 4 Year,EA4,150001,200000,48,01/12/2019,30/11/2023,2.774418
10EA4B15814 Start Month 2 - 5 Year,EA4,150001,200000,60,01/12/2019,30/11/2024,2.785671
10EA4B15814 Start Month 3 - 1 Year,EA4,150001,200000,12,01/01/2020,31/12/2020,2.718032
10EA4B15814 Start Month 3 - 2 Year,EA4,150001,200000,24,01/01/2020,31/12/2021,2.753974
10EA4B15814 Start Month 3 - 3 Year,EA4,150001,200000,36,01/01/2020,31/12/2022,2.765389
10EA4B15814 Start Month 3 - 4 Year,EA4,150001,200000,48,01/01/2020,31/12/2023,2.786841
10EA4B15814 Start Month 3 - 5 Year,EA4,150001,200000,60,01/01/2020,31/12/2024,2.798195
10EA4B15814 Start Month 4 - 1 Year,EA4,150001,200000,12,01/02/2020,31/01/2021,2.741981
10EA4B15814 Start Month 4 - 2 Year,EA4,150001,200000,24,01/02/2020,31/01/2022,2.764577
10EA4B15814 Start Month 4 - 3 Year,EA4,150001,200000,36,01/02/2020,31/01/2023,2.775287
10EA4B15814 Start Month 4 - 4 Year,EA4,150001,200000,48,01/02/2020,31/01/2024,2.798862
10EA4B15814 Start Month 4 - 5 Year,EA4,150001,200000,60,01/02/2020,31/01/2025,2.806782
10EA4B15814 Start Month 5 - 1 Year,EA4,150001,200000,12,01/03/2020,28/02/2021,2.761058
10EA4B15814 Start Month 5 - 2 Year,EA4,150001,200000,24,01/03/2020,28/02/2022,2.772645
10EA4B15814 Start Month 5 - 3 Year,EA4,150001,200000,36,01/03/2020,28/02/2023,2.783175
10EA4B15814 Start Month 5 - 4 Year,EA4,150001,200000,48,01/03/2020,29/02/2024,2.807346
10EA4B15814 Start Month 5 - 5 Year,EA4,150001,200000,60,01/03/2020,28/02/2025,2.815583
10EA4B15814 Start Month 6 - 1 Year,EA4,150001,200000,12,01/04/2020,31/03/2021,2.789942
10EA4B15814 Start Month 6 - 2 Year,EA4,150001,200000,24,01/04/2020,31/03/2022,2.785571
10EA4B15814 Start Month 6 - 3 Year,EA4,150001,200000,36,01/04/2020,31/03/2023,2.793881
10EA4B15814 Start Month 6 - 4 Year,EA4,150001,200000,48,01/04/2020,31/03/2024,2.817749
10EA4B15814 Start Month 6 - 5 Year,EA4,150001,200000,60,01/04/2020,31/03/2025,2.822451
10EA4B15814 Start Month 7 - 1 Year,EA4,150001,200000,12,01/05/2020,30/04/2021,2.797113
10EA4B15814 Start Month 7 - 2 Year,EA4,150001,200000,24,01/05/2020,30/04/2022,2.788702
10EA4B15814 Start Month 7 - 3 Year,EA4,150001,200000,36,01/05/2020,30/04/2023,2.798024
10EA4B15814 Start Month 7 - 4 Year,EA4,150001,200000,48,01/05/2020,30/04/2024,2.822104
10EA4B15814 Start Month 7 - 5 Year,EA4,150001,200000,60,01/05/2020,30/04/2025,2.816767
10EA4B15814 Start Month 8 - 1 Year,EA4,150001,200000,12,01/06/2020,31/05/2021,2.797202
10EA4B15814 Start Month 8 - 2 Year,EA4,150001,200000,24,01/06/2020,31/05/2022,2.79133
10EA4B15814 Start Month 8 - 3 Year,EA4,150001,200000,36,01/06/2020,31/05/2023,2.800955
10EA4B15814 Start Month 8 - 4 Year,EA4,150001,200000,48,01/06/2020,31/05/2024,2.824833
10EA4B15814 Start Month 8 - 5 Year,EA4,150001,200000,60,01/06/2020,31/05/2025,2.806322
10EA4B15814 Start Month 9 - 1 Year,EA4,150001,200000,12,01/07/2020,30/06/2021,2.797998
10EA4B15814 Start Month 9 - 2 Year,EA4,150001,200000,24,01/07/2020,30/06/2022,2.792542
10EA4B15814 Start Month 9 - 3 Year,EA4,150001,200000,36,01/07/2020,30/06/2023,2.801965
10EA4B15814 Start Month 9 - 4 Year,EA4,150001,200000,48,01/07/2020,30/06/2024,2.815959
10EA4B15814 Start Month 9 - 5 Year,EA4,150001,200000,60,01/07/2020,30/06/2025,2.786698
10EM1B15853 Start Month 1 - 1 Year,EM1,150001,200000,12,01/11/2019,31/10/2020,2.585989
10EM1B15853 Start Month 1 - 2 Year,EM1,150001,200000,24,01/11/2019,31/10/2021,2.647801
10EM1B15853 Start Month 1 - 3 Year,EM1,150001,200000,36,01/11/2019,31/10/2022,2.672851
10EM1B15853 Start Month 1 - 4 Year,EM1,150001,200000,48,01/11/2019,31/10/2023,2.693986
10EM1B15853 Start Month 1 - 5 Year,EM1,150001,200000,60,01/11/2019,31/10/2024,2.702801
10EM1B15853 Start Month 10 - 1 Year,EM1,150001,200000,12,01/08/2020,31/07/2021,2.742628
10EM1B15853 Start Month 10 - 2 Year,EM1,150001,200000,24,01/08/2020,31/07/2022,2.739307
10EM1B15853 Start Month 10 - 3 Year,EM1,150001,200000,36,01/08/2020,31/07/2023,2.746607
10EM1B15853 Start Month 10 - 4 Year,EM1,150001,200000,48,01/08/2020,31/07/2024,2.742698
10EM1B15853 Start Month 10 - 5 Year,EM1,150001,200000,60,01/08/2020,31/07/2025,2.707753
10EM1B15853 Start Month 11 - 1 Year,EM1,150001,200000,12,01/09/2020,31/08/2021,2.744547
10EM1B15853 Start Month 11 - 2 Year,EM1,150001,200000,24,01/09/2020,31/08/2022,2.740317
10EM1B15853 Start Month 11 - 3 Year,EM1,150001,200000,36,01/09/2020,31/08/2023,2.747516
10EM1B15853 Start Month 11 - 4 Year,EM1,150001,200000,48,01/09/2020,31/08/2024,2.745538
10EM1B15853 Start Month 11 - 5 Year,EM1,150001,200000,60,01/09/2020,31/08/2025,2.68923
10EM1B15853 Start Month 12 - 1 Year,EM1,150001,200000,12,01/10/2020,30/09/2021,2.743636
10EM1B15853 Start Month 12 - 2 Year,EM1,150001,200000,24,01/10/2020,30/09/2022,2.740519
10EM1B15853 Start Month 12 - 3 Year,EM1,150001,200000,36,01/10/2020,30/09/2023,2.748021
10EM1B15853 Start Month 12 - 4 Year,EM1,150001,200000,48,01/10/2020,30/09/2024,2.746043
10EM1B15853 Start Month 12 - 5 Year,EM1,150001,200000,60,01/10/2020,30/09/2025,2.682334
10EM1B15853 Start Month 2 - 1 Year,EM1,150001,200000,12,01/12/2019,30/11/2020,2.630732
10EM1B15853 Start Month 2 - 2 Year,EM1,150001,200000,24,01/12/2019,30/11/2021,2.675877
